𤭢	〔亠瓦ww〕
𫟼	〔钅大jd〕
带	〔{卅}巾cj〕
代	〔亻弋ry〕
待	〔彳寸rc〕
呆	〔口木km〕
袋	〔亻衣ry〕
戴	〔戈共gg〕
黛	〔亻灬rh〕
歹	〔一夕ax〕
贷	〔亻贝rb〕
逮	〔辶隶zl〕
怠	〔厶心sx〕
殆	〔歹口dk〕
岱	〔亻山ru〕
玳	〔𤣩弋wy〕
呔	〔口太kt〕
傣	〔亻氺ru〕
迨	〔辶口zk〕
绐	〔纟口sk〕
叇	〔云隶yl〕
埭	〔土隶tl〕
骀	〔马口mk〕
轪	〔车大id〕
垈	〔亻土rt〕
但	〔亻旦rd〕
淡	〔氵火dh〕
担	〔扌旦fd〕
弹	〔弓十gu〕
丹	〔⺆丶kd〕
蛋	〔疋虫zi〕
胆	〔⺼旦od〕
旦	〔日一oa〕
诞	〔讠正yv〕
耽	〔耳儿ee〕
惮	〔忄十xu〕
石	〔丆口ak〕
眈	〔目儿oe〕
澹	〔氵口dk〕
掸	〔扌十fu〕
郸	〔丷⻏be〕
殚	〔歹十du〕
啖	〔口火kh〕
氮	〔气火qh〕
儋	〔亻口rk〕
聃	〔耳冉er〕
箪	〔竹十vu〕
亶	〔亠旦wd〕
疸	〔疒旦bd〕
萏	〔艹臼cj〕
瘅	〔疒十bu〕
疍	〔疋旦zd〕
赕	〔贝火bh〕
憺	〔忄口xk〕
膻	〔⺼旦od〕
𫢸	〔亻十ru〕
𬘘	〔纟儿se〕
当	〔⺌彐xe〕
党	〔龸兄xx〕
荡	〔艹丿cp〕
挡	〔扌彐fe〕
档	〔木彐me〕
裆	〔衤彐pe〕
宕	〔宀石bu〕
砀	〔石丿up〕
珰	〔𤣩彐we〕
凼	〔凵水ku〕
谠	〔讠兄yx〕
垱	〔土彐te〕
菪	〔艹石cu〕
筜	〔竹彐ve〕
𣗋	〔木兄mx〕
𬍡	〔氵玉dy〕
到	〔𠫔刂gd〕
倒	〔亻刂rd〕
道	〔辶自zz〕
刀	〔𠃌丿vp〕
导	〔巳寸sc〕
岛	〔{鸟减一}山nu〕
盗	〔冫皿dm〕
叨	〔口刀kd〕
蹈	〔𧾷臼zj〕
祷	〔礻寸pc〕
捣	〔扌山fu〕
稻	〔禾臼hj〕
悼	〔忄十xu〕
纛	〔龶糸fx〕
忉	〔忄刀xd〕
氘	〔气{⿰丿丨}ql〕
捯	〔扌刂fd〕
鱽	〔鱼刀yd〕
舠	〔舟刀vd〕
的	〔白勺bu〕
地	〔土也ty〕
得	〔彳寸rc〕
德	〔彳心rx〕
嘚	〔口寸kc〕
锝	〔钅寸jc〕
扽	〔扌屯ft〕
等	〔竹寸vc〕
灯	〔火丁hd〕
登	〔癶䒑bb〕
瞪	〔目䒑ob〕
邓	〔又⻏ye〕
凳	〔癶几bj〕
蹬	〔𧾷䒑zb〕
噔	〔口䒑kb〕
镫	〔钅䒑jb〕
磴	〔石䒑ub〕
戥	〔日戈og〕
嶝	〔山䒑ub〕
璒	〔𤣩䒑wb〕
第	〔竹𢎨vd〕
弟	〔丷𢎨bd〕
底	〔广氐gu〕
低	〔亻氐ru〕
帝	〔亠巾wj〕
敌	〔舌攵uw〕
抵	〔扌氐fu〕
递	〔辶𢎨zd〕
迪	〔辶由zy〕
滴	〔氵古dg〕
蒂	〔艹巾cj〕
狄	〔犭火qh〕
笛	〔竹由vy〕
嘀	〔口古kg〕
堤	〔土龰tz〕
邸	〔氐⻏ue〕
嫡	〔女古ng〕
棣	〔木隶ml〕
缔	〔纟巾sj〕
谛	〔讠巾yj〕
涤	〔氵木dm〕
荻	〔艹火ch〕
娣	〔女𢎨nd〕
诋	〔讠氐yu〕
氐	〔氏丶ud〕
砥	〔石氐uu〕
镝	〔钅古jg〕
睇	〔目𢎨od〕
坻	〔土氐tu〕
柢	〔木氐mu〕
鞮	〔革龰gz〕
羝	〔羊氐yu〕
觌	〔十见uj〕
籴	〔入米rm〕
骶	〔冎氐gu〕
碲	〔石巾uj〕
禘	〔礻巾pj〕
翟	〔习{隹右}xv〕
踶	〔𧾷龰zz〕
菂	〔艹勺cu〕
髢	〔E也ey〕
玓	〔𤣩勺wu〕
杕	〔木大md〕
蹢	〔𧾷古zg〕
媂	〔女巾nj〕
提	〔扌龰fz〕
䃅	〔石十uu〕
䗖	〔虫巾ij〕
茋	〔艹氐cu〕
𤧛	〔𤣩巾wj〕
𬱖	〔由页yy〕
嗲	〔口夕kx〕
点	〔占灬vh〕
电	〔由乚yv〕
店	〔广占gv〕
殿	〔尸殳uu〕
典	〔{曲-一}八qb〕
颠	〔十页uy〕
垫	〔扌土ft〕
甸	〔勹田bt〕
惦	〔忄占xv〕
奠	〔丷大bd〕
掂	〔扌占fv〕
癫	〔疒页by〕
巅	〔山页uy〕
淀	〔氵龰dz〕
滇	〔氵八db〕
玷	〔𤣩占wv〕
踮	〔𧾷占zv〕
佃	〔亻田rt〕
靛	〔龶龰fz〕
碘	〔石八ub〕
钿	〔钅田jt〕
簟	〔竹十vu〕
癜	〔疒殳bu〕
坫	〔土占tv〕
阽	〔⻖占ev〕
扂	〔户占hv〕
琔	〔𤣩龰wz〕
掉	〔扌十fu〕
调	〔讠口yk〕
屌	〔尸巾uj〕
雕	〔⺆{隹右}kv〕
吊	〔口巾kj〕
钓	〔钅勺ju〕
刁	〔𠃌㇀va〕
叼	〔口刁kd〕
貂	〔豸口vk〕
凋	〔冫口dk〕
碉	〔石口uk〕
鲷	〔鱼口yk〕
铫	〔钅兆jv〕
铞	〔钅巾jj〕
窎	〔宀鸟bn〕
汈	〔氵刁dd〕
爹	〔父夕fx〕
蝶	〔虫木im〕
跌	〔𧾷夫zf〕
叠	〔又且yq〕
碟	〔石木um〕
迭	〔辶夫zf〕
谍	〔讠木ym〕
喋	〔口木km〕
牒	〔片木pm〕
堞	〔土木tm〕
耋	〔老土lt〕
鲽	〔鱼木ym〕
昳	〔日夫of〕
蹀	〔𧾷木zm〕
瓞	〔瓜夫gf〕
垤	〔土土tt〕
绖	〔纟土st〕
楪	〔木木mm〕
𫶇	〔山巾uj〕
定	〔宀龰bz〕
顶	〔丁页dy〕
丁	〔一亅al〕
盯	〔目丁od〕
订	〔讠丁yd〕
叮	〔口丁kd〕
鼎	〔爿目po〕
钉	〔钅丁jd〕
锭	〔钅龰jz〕
町	〔田丁td〕
仃	〔亻丁rd〕
酊	〔酉丁yd〕
腚	〔⺼龰oz〕
玎	〔𤣩丁wd〕
碇	〔石龰uz〕
疔	〔疒丁bd〕
啶	〔口龰kz〕
耵	〔耳丁ed〕
萣	〔艹龰cz〕
丢	〔丿去pq〕
铥	〔钅去jq〕
动	〔云力yl〕
东	〔一小ax〕
洞	〔氵口dk〕
懂	〔忄重xv〕
冬	〔夂⺀wd〕
董	〔艹重cv〕
冻	〔冫东dd〕
栋	〔木东md〕
咚	〔口冬kd〕
峒	〔山口uk〕
胴	〔⺼口ok〕
侗	〔亻口rk〕
恫	〔忄口xk〕
鸫	〔东鸟dn〕
垌	〔土口tk〕
硐	〔石口uk〕
氡	〔气冬qd〕
胨	〔⺼东od〕
岽	〔山东ud〕
𬟽	〔虫东id〕
都	〔耂⻏le〕
斗	〔十⺀ud〕
抖	〔扌斗fd〕
豆	〔一䒑ab〕
逗	〔辶䒑zb〕
兜	〔丿儿pe〕
陡	〔⻖龰ez〕
窦	〔宀⺀bd〕
痘	〔疒䒑bb〕
蚪	〔虫斗id〕
蔸	〔艹儿ce〕
篼	〔竹儿ve〕
钭	〔钅斗jd〕
读	〔讠⺀yd〕
度	〔广又gy〕
独	〔犭虫qi〕
毒	〔龶母fm〕
杜	〔木土mt〕
肚	〔⺼土ot〕
赌	〔贝日bo〕
督	〔上目uo〕
渡	〔氵又dy〕
嘟	〔口⻏ke〕
堵	〔土日to〕
妒	〔女户nh〕
睹	〔目日oo〕
笃	〔竹马vm〕
渎	〔氵⺀dd〕
镀	〔钅又jy〕
犊	〔牜⺀nd〕
牍	〔片⺀pd〕
蠹	〔𰀉虫gi〕
黩	〔{里}⺀ld〕
阇	〔门日mo〕
芏	〔艹土ct〕
椟	〔木⺀md〕
髑	〔冎虫gi〕
厾	〔⺄去vq〕
𬭊	〔钅土jt〕
断	〔𠃊斤vj〕
段	〔{段-殳}殳pu〕
短	〔矢䒑ub〕
端	〔立而le〕
锻	〔钅殳ju〕
缎	〔纟殳su〕
煅	〔火殳hu〕
椴	〔木殳mu〕
耑	〔山而ue〕
簖	〔竹斤vj〕
塅	〔土殳tu〕
瑖	〔𤣩殳wu〕
对	〔又寸yc〕
队	〔⻖人er〕
堆	〔土{隹右}tv〕
兑	〔丷兄bx〕
怼	〔又心yx〕
碓	〔石{隹右}uv〕
祋	〔礻殳pu〕
顿	〔屯页ty〕
盾	〔𠂆目io〕
蹲	〔𧾷寸zc〕
敦	〔亠攵ww〕
沌	〔氵屯dt〕
遁	〔辶目zo〕
吨	〔口屯kt〕
钝	〔钅屯jt〕
墩	〔土攵tw〕
炖	〔火屯ht〕
盹	〔目屯ot〕
惇	〔忄子xz〕
趸	〔万足wz〕
礅	〔石攵uw〕
蹾	〔𧾷攵zw〕
砘	〔石屯ut〕
镦	〔钅攵jw〕
囤	〔囗屯kt〕
多	〔夕夕xx〕
躲	〔身木um〕
朵	〔𠘧木jm〕
夺	〔大寸dc〕
堕	〔⻖土et〕
哆	〔口夕kx〕
跺	〔𧾷木zm〕
踱	〔𧾷又zy〕
舵	〔舟匕vb〕
咄	〔口出ki〕
剁	〔𠘧刂jd〕
铎	〔钅𰀁jf〕
惰	〔忄月xo〕
垛	〔土木tm〕
掇	〔扌又fy〕
哚	〔口木km〕
裰	〔衤又py〕
埵	〔土士tt〕
饳	〔饣出ui〕
亸	〔亠十wu〕
剟	〔又刂yd〕
驮	〔马大md〕
㙍	〔土又ty〕
饿	〔饣我uw〕
呃	〔口㔾kv〕
恶	〔亚心yx〕
额	〔宀页by〕
俄	〔亻我rw〕
愕	〔忄丂xk〕
鹅	〔我鸟wn〕
噩	〔王口wk〕
娥	〔女我nw〕
厄	〔厂㔾iv〕
峨	〔山我uw〕
鄂	〔口⻏ke〕
遏	〔辶人zr〕
扼	〔扌㔾fv〕
鳄	〔鱼丂yk〕
蛾	〔虫我iw〕
婀	〔女可nk〕
讹	〔讠𠤎yb〕
锷	〔钅丂jk〕
颚	〔口页ky〕
鹗	〔口鸟kn〕
萼	〔艹丂ck〕
屙	〔尸可uk〕
谔	〔讠丂yk〕
垩	〔亚土yt〕
腭	〔⺼丂ok〕
莪	〔艹我cw〕
轭	〔车㔾iv〕
苊	〔艹㔾cv〕
锇	〔钅我jw〕
崿	〔山丂uk〕
姶	〔女口nk〕
涐	〔氵我dw〕
哦	〔口我kw〕
堨	〔土人tr〕
𥔲	〔石丂uk〕
𫫇	〔口心kx〕
恩	〔因心yx〕
摁	〔扌心fx〕
蒽	〔艹心cx〕
而	〔丆丨al〕
儿	〔丿乚pv〕
二	〔一一aa〕
尔	〔⺈小dx〕
耳	〔目丨ol〕
饵	〔饣耳ue〕
迩	〔辶小zx〕
贰	〔弋贝yb〕
洱	〔氵耳de〕
珥	〔𤣩耳we〕
铒	〔钅耳je〕
鸸	〔而鸟en〕
陑	〔⻖而ee〕
鲕	〔鱼而ye〕
咡	〔口耳ke〕
耏	〔而彡ep〕
发	〔{𠃊丿}又fy〕
法	〔氵去dq〕
罚	〔罒刂sd〕
乏	〔丿之pv〕
伐	〔亻戈rg〕
阀	〔门戈mg〕
筏	〔竹戈vg〕
砝	〔石去uq〕
珐	〔𤣩去wq〕
垡	〔亻土rt〕
反	〔𠂆又iy〕
饭	〔饣又uy〕
翻	〔釆习cx〕
烦	〔火页hy〕
凡	〔几丶jd〕
犯	〔犭㔾qv〕
范	〔艹㔾cv〕
番	〔釆田ct〕
繁	〔𠂉糸px〕
返	〔辶又zy〕
泛	〔氵乏df〕
帆	〔巾凡jf〕
贩	〔贝又by〕
樊	〔木大md〕
藩	〔艹田ct〕
梵	〔木凡mf〕
幡	〔巾田jt〕
蘩	〔艹糸cx〕
璠	〔𤣩田wt〕
矾	〔石凡uf〕
畈	〔田又ty〕
燔	〔火田ht〕
钒	〔钅凡jf〕
氾	〔氵㔾dv〕
蹯	〔𧾷田zt〕
墦	〔土田tt〕
𫔍	〔钅田jt〕
𬸪	〔釆鸟cn〕
放	〔方攵fw〕
房	〔户方hf〕
防	〔⻖方ef〕
方	〔亠𠃌wv〕
仿	〔亻方rf〕
芳	〔艹方cf〕
访	〔讠方yf〕
妨	〔女方nf〕
坊	〔土方tf〕
纺	〔纟方sf〕
肪	〔⺼方of〕
舫	〔舟方vf〕
枋	〔木方mf〕
昉	〔日方of〕
鲂	〔鱼方yf〕
邡	〔方⻏fe〕
钫	〔钅方jf〕
牥	〔牜方nf〕
蚄	〔虫方if〕
飞	〔㇈丶vd〕
非	〔丨三ls〕
费	〔弗贝fb〕
菲	〔艹非cf〕
废	〔广又gy〕
妃	〔女己nj〕
肥	〔⺼巴ob〕
啡	〔口非kf〕
匪	〔匚非kf〕
沸	〔氵弗df〕
肺	〔⺼巿ou〕
绯	〔纟非sf〕
斐	〔非文fw〕
霏	〔雨非yf〕
翡	〔非习fx〕
扉	〔户非hf〕
吠	〔口犬kq〕
诽	〔讠非yf〕
蜚	〔非虫fi〕
狒	〔犭弗qf〕
腓	〔⺼非of〕
悱	〔忄非xf〕
淝	〔氵巴db〕
芾	〔艹巿cu〕
痱	〔疒非bf〕
榧	〔木非mf〕
鲱	〔鱼非yf〕
篚	〔竹非vf〕
朏	〔月出oi〕
棐	〔非木fm〕
镄	〔钅贝jb〕
剕	〔非刂fd〕
𬴂	〔马非mf〕
分	〔八刀bd〕
份	〔亻分rf〕
纷	〔纟分sf〕
奋	〔大田dt〕
愤	〔忄贝xb〕
粉	〔米分mf〕
氛	〔气分qf〕
吩	〔口分kf〕
芬	〔艹分cf〕
焚	〔木火mh〕
坟	〔土文tw〕
忿	〔分心fx〕
粪	〔米共mg〕
汾	〔氵分df〕
酚	〔酉分yf〕
棼	〔木分mf〕
偾	〔亻贝rb〕
鲼	〔鱼贝yb〕
棻	〔艹木cm〕
鼢	〔臼分jf〕
翂	〔习分xf〕
瀵	〔氵共dg〕
坋	〔土分tf〕
豮	〔豕贝ub〕
𣸣	〔氵贝db〕
风	〔几乂jx〕
封	〔土寸tc〕
凤	〔⺇又jy〕
峰	〔山丰uf〕
疯	〔疒风bf〕
锋	〔钅丰jf〕
枫	〔木风mf〕
丰	〔三丨sl〕
奉	〔𡗗𰀁if〕
冯	〔冫马dm〕
缝	〔纟丰sf〕
逢	〔辶丰zf〕
讽	〔讠风yf〕
蜂	〔虫丰if〕
烽	〔火丰hf〕
俸	〔亻𰀁rf〕
沣	〔氵丰df〕
沨	〔氵风df〕
酆	〔山⻏ue〕
葑	〔艹寸cc〕
唪	〔口𰀁kf〕
砜	〔石风uf〕
赗	〔贝目bo〕
浲	〔氵丰df〕
崶	〔山寸uc〕
否	〔不口bk〕
缶	〔𠂉凵pk〕
服	〔月又oy〕
夫	〔二人er〕
父	〔八乂bx〕
复	〔𠂉夂pw〕
福	〔礻田pt〕
府	〔广寸gc〕
副	〔𠮛刂ad〕
负	〔⺈贝db〕
付	〔亻寸rc〕
富	〔宀田bt〕
妇	〔女彐ne〕
附	〔⻖寸ec〕
伏	〔亻犬rq〕
傅	〔亻寸rc〕
浮	〔氵子dz〕
扶	〔扌夫ff〕
抚	〔扌无fw〕
符	〔竹寸vc〕
肤	〔⺼夫of〕
腹	〔⺼夂ow〕
幅	〔巾田jt〕
咐	〔口寸kc〕
覆	〔覀夂xw〕
腐	〔广肉gr〕
弗	〔弓丨gl〕
赴	〔土卜tb〕
斧	〔父斤fj〕
俯	〔亻寸rc〕
赋	〔贝止bv〕
辅	〔车甫if〕
芙	〔艹夫cf〕
拂	〔扌弗ff〕
甫	〔十用uy〕
俘	〔亻子rz〕
缚	〔纟寸sc〕
蝠	〔虫田it〕
敷	〔甫攵fw〕
脯	〔⺼甫of〕
袱	〔衤犬pq〕
腑	〔⺼寸oc〕
辐	〔车田it〕
孚	〔爫子vz〕
驸	〔马寸mc〕
釜	〔父丷fb〕
苻	〔艹寸cc〕
匐	〔勹田bt〕
宓	〔宀必bb〕
阜	〔𠂤十lu〕
孵	〔卵子lz〕
馥	〔禾夂hw〕
茀	〔艹弗cf〕
涪	〔氵口dk〕
茯	〔艹犬cq〕
凫	〔{鸟减一}几nj〕
蚨	〔虫夫if〕
拊	〔扌寸fc〕
蝮	〔虫夂iw〕
讣	〔讠卜yb〕
黼	〔业甫yf〕
趺	〔𧾷夫zf〕
怫	〔忄弗xf〕
氟	〔气弗qf〕
蜉	〔虫子iz〕
黻	〔业又yy〕
麸	〔龶夫ff〕
绂	〔纟又sy〕
跗	〔𧾷寸zc〕
鲋	〔鱼寸yc〕
罘	〔罒不sb〕
滏	〔氵丷db〕
郛	〔爫⻏ve〕
菔	〔艹又cy〕
桴	〔木子mz〕
幞	〔巾夫jf〕
祓	〔礻又py〕
呋	〔口夫kf〕
绋	〔纟弗sf〕
莩	〔艹子cz〕
赙	〔贝寸bc〕
鄜	〔鹿⻏le〕
芣	〔艹不cb〕
洑	〔氵犬dq〕
簠	〔竹皿vm〕
榑	〔木寸mc〕
稃	〔禾子hz〕
韨	〔韦又wy〕
玞	〔𤣩夫wf〕
砆	〔石夫uf〕
垺	〔土子tz〕
㕮	〔口父kf〕
㳇	〔氵父df〕
琈	〔𤣩子wz〕
𫓧	〔钅夫jf〕
𫖯	〔兆页vy〕
尬	〔尢介yj〕
嘎	〔口戈kg〕
伽	〔亻口rk〕
噶	〔口人kr〕
旮	〔九日jo〕
咖	〔口口kk〕
尕	〔乃小nx〕
尜	〔小小xx〕
轧	〔车乚iv〕
钆	〔钅乚jv〕
戛	〔𦣻戈bg〕
该	〔讠人yr〕
改	〔己攵jw〕
盖	〔𦍌皿ym〕
概	〔木旡mw〕
丐	〔一㇉av〕
钙	〔钅丐jg〕
溉	〔氵旡dw〕
赅	〔贝人br〕
垓	〔土人tr〕
陔	〔⻖人er〕
戤	〔乃戈ng〕
荄	〔艹人cr〕
晐	〔日人or〕
𬮿	〔⻖己ej〕
感	〔戊心wx〕
干	〔一十au〕
敢	〔{⿱𠃍耳}攵ew〕
赶	〔土干tg〕
甘	〔廿一ca〕
尴	〔尢皿ym〕
杆	〔木干mg〕
肝	〔⺼干og〕
竿	〔竹干vg〕
橄	〔木攵mw〕
赣	〔立贝lb〕
秆	〔禾干hg〕
柑	〔木甘mg〕
擀	〔扌干fg〕
玕	〔𤣩干wg〕
淦	〔氵金dj〕
泔	〔氵甘dg〕
矸	〔石干ug〕
坩	〔土甘tg〕
绀	〔纟甘sg〕
苷	〔艹甘cg〕
旰	〔日干og〕
疳	〔疒甘bg〕
酐	〔酉干yg〕
澉	〔氵攵dw〕
虷	〔虫干ig〕
鳡	〔鱼心yx〕
㽏	〔氵甘dg〕
刚	〔冂刂kd〕
港	〔氵巳ds〕
钢	〔钅㐅jx〕
岗	〔山㐅ux〕
冈	〔冂㐅kx〕
缸	〔缶工fg〕
纲	〔纟㐅sx〕
罡	〔罒正sv〕
杠	〔木工mg〕
肛	〔⺼工og〕
筻	〔竹更vg〕
冮	〔冫工dg〕
矼	〔石工ug〕
堽	〔土正tv〕
戆	〔立心lx〕
扛	〔扌工fg〕
㭎	〔木㐅mx〕
鿍	〔土㐄tf〕
高	〔亠口wk〕
告	〔⺧口nk〕
搞	〔扌口fk〕
糕	〔米灬mh〕
稿	〔禾口hk〕
膏	〔亠⺝wo〕
羔	〔𦍌灬yh〕
皋	〔白十bu〕
镐	〔钅口jk〕
睾	〔丿干pg〕
篙	〔竹口vk〕
诰	〔讠口yk〕
槁	〔木口mk〕
杲	〔日木om〕
缟	〔纟口sk〕
锆	〔钅口jk〕
郜	〔⺧⻏ne〕
藁	〔艹木cm〕
槔	〔木十mu〕
筶	〔竹口vk〕
个	〔𠆢丨rl〕
哥	〔可可kk〕
各	〔夂口wk〕
格	〔木口mk〕
歌	〔可欠kq〕
革	〔廿十cu〕
隔	〔⻖鬲eg〕
阁	〔门口mk〕
葛	〔艹人cr〕
割	〔宀刂bd〕
胳	〔⺼口ok〕
戈	〔弋丿yp〕
搁	〔扌口fk〕
鸽	〔𠆢鸟rn〕
疙	〔疒乙bv〕
骼	〔冎口gk〕
嗝	〔口鬲kg〕
硌	〔石口uk〕
咯	〔口口kk〕
铬	〔钅口jk〕
鬲	〔𠮛丨al〕
圪	〔土乙tv〕
蛤	〔虫口ik〕
舸	〔舟可vk〕
膈	〔⺼鬲og〕
虼	〔虫乙iv〕
袼	〔衤口pk〕
哿	〔力可lk〕
镉	〔钅鬲jg〕
仡	〔亻乙rv〕
饹	〔饣口uk〕
塥	〔土鬲tg〕
滆	〔氵鬲dg〕
合	〔𠆢口rk〕
给	〔纟口sk〕
跟	〔𧾷艮zg〕
根	〔木艮mg〕
亘	〔一旦ad〕
艮	〔日{𧘇-丿}oy〕
哏	〔口艮kg〕
茛	〔艹艮cg〕
更	〔一乀an〕
耿	〔耳火eh〕
哽	〔口更kg〕
耕	〔耒井lj〕
羹	〔𦍌大yd〕
庚	〔广人gr〕
梗	〔木更mg〕
赓	〔广贝gb〕
埂	〔土更tg〕
鲠	〔鱼更yg〕
绠	〔纟更sg〕
浭	〔氵更dg〕
暅	〔日旦od〕
颈	〔𢀖页jy〕
鹒	〔广鸟gn〕
𬒔	〔石⺝uo〕
公	〔八厶bs〕
工	〔一丄aa〕
功	〔工力gl〕
攻	〔工攵gw〕
宫	〔宀口bk〕
共	〔卄八cb〕
供	〔亻共rg〕
恭	〔共⺗gx〕
弓	〔𠃍㇉vv〕
贡	〔工贝gb〕
躬	〔身弓ug〕
拱	〔扌共fg〕
龚	〔龙共lg〕
巩	〔工凡gf〕
蚣	〔虫公ig〕
觥	〔⺈儿de〕
汞	〔工水gu〕
肱	〔⺼厶os〕
珙	〔𤣩共wg〕
䢼	〔共⻏ge〕
硔	〔石共ug〕
够	〔句夕jx〕
狗	〔犭句qj〕
构	〔木勾mg〕
勾	〔勹厶bs〕
购	〔贝勾bg〕
沟	〔氵勾dg〕
钩	〔钅勾jg〕
苟	〔艹句cj〕
垢	〔土口tk〕
篝	〔竹冉vr〕
佝	〔亻句rj〕
媾	〔女冉nr〕
枸	〔木句mj〕
诟	〔讠口yk〕
彀	〔士殳tu〕
缑	〔纟矢su〕
遘	〔辶冉zr〕
鞲	〔革冉gr〕
笱	〔竹句vj〕
觏	〔𠀎见fj〕
岣	〔山句uj〕
姤	〔女口nk〕
雊	〔句{隹右}jv〕
耇	〔耂句lj〕
句	〔勹口bk〕
古	〔十口uk〕
故	〔古攵gw〕
顾	〔厂页iy〕
股	〔⺼殳ou〕
姑	〔女古ng〕
骨	〔冎⺼go〕
孤	〔子瓜zg〕
谷	〔八口bk〕
鼓	〔士支tv〕
固	〔囗古kg〕
估	〔亻古rg〕
咕	〔口古kg〕
辜	〔古辛gx〕
雇	〔户{隹右}hv〕
蛊	〔虫皿im〕
菇	〔艹古cg〕
汩	〔氵曰do〕
箍	〔竹巾vj〕
锢	〔钅古jg〕
沽	〔氵古dg〕
贾	〔覀贝xb〕
鹘	〔冎鸟gn〕
臌	〔⺼支ov〕
牯	〔牜古ng〕
轱	〔车古ig〕
鸪	〔古鸟gn〕
梏	〔木口mk〕
痼	〔疒古bg〕
钴	〔钅古jg〕
毂	〔士殳tu〕
崮	〔山古ug〕
诂	〔讠古yg〕
瞽	〔士目to〕
菰	〔艹瓜cg〕
蛄	〔虫古ig〕
羖	〔羊殳yu〕
觚	〔⺈瓜dg〕
嘏	〔古又gy〕
罟	〔罒古sg〕
榖	〔士殳tu〕
酤	〔酉古yg〕
馉	〔饣⺼uo〕
牿	〔牜口nk〕
堌	〔土古tg〕
蓇	〔艹⺼co〕
鲴	〔鱼古yg〕
呱	〔口瓜kg〕
鹄	〔⺧鸟nn〕
瀔	〔氵殳du〕
𦙶	〔⺼古og〕
挂	〔扌土ft〕
瓜	〔𠂆乀in〕
刮	〔舌刂ud〕
寡	〔宀分bf〕
卦	〔土卜tb〕
褂	〔衤卜pb〕
剐	〔口刂kd〕
鸹	〔舌鸟un〕
诖	〔讠土yt〕
栝	〔木舌mu〕
胍	〔⺼瓜og〕
怪	〔忄土xt〕
乖	〔千北qb〕
拐	〔扌力fl〕
掴	〔扌玉fy〕
夬	〔ユ人vr〕
关	〔丷天bt〕
管	〔竹㠯vl〕
官	〔宀㠯bl〕
观	〔又见yj〕
馆	〔饣㠯ul〕
惯	〔忄贝xb〕
冠	〔冖寸bc〕
贯	〔毌贝mb〕
灌	〔氵{隹右}dv〕
罐	〔缶{隹右}fv〕
棺	〔木㠯ml〕
倌	〔亻㠯rl〕
盥	〔𦥑皿jm〕
掼	〔扌贝fb〕
涫	〔氵㠯dl〕
鳏	〔鱼小yx〕
鹳	〔艹鸟cn〕
瓘	〔𤣩{隹右}wv〕
祼	〔礻果pg〕
琯	〔𤣩㠯wl〕
毌	〔{𠃊𠃌一(母-丶丶)}丨ml〕
筦	〔竹元vy〕
蒄	〔艹寸cc〕
爟	〔火{隹右}hv〕
纶	〔纟仑sl〕
莞	〔艹元cy〕
鳤	〔鱼㠯yl〕
光	〔⺌儿xe〕
广	〔丶厂di〕
逛	〔辶王zw〕
咣	〔口儿ke〕
犷	〔犭广qg〕
胱	〔⺼儿oe〕
桄	〔木儿me〕
洸	〔氵儿de〕
珖	〔𤣩儿we〕
垙	〔土儿te〕
𨐈	〔车儿ie〕
鬼	〔丿厶ps〕
贵	〔中贝vb〕
规	〔夫见fj〕
归	〔リ彐le〕
跪	〔𧾷㔾zv〕
柜	〔木巨mj〕
诡	〔讠㔾yv〕
瑰	〔𤣩鬼wg〕
桂	〔木土mt〕
龟	〔⺈电dd〕
轨	〔车九ij〕
闺	〔门土mt〕
圭	〔土土tt〕
桧	〔木云my〕
刽	〔𠆢刂rd〕
癸	〔癶天bt〕
硅	〔石土ut〕
妫	〔女为nw〕
珪	〔𤣩土wt〕
皈	〔白又by〕
晷	〔日口ok〕
鲑	〔鱼土yt〕
刿	〔山刂ud〕
鳜	〔鱼欠yq〕
姽	〔女㔾nv〕
簋	〔竹皿vm〕
庋	〔广支gv〕
宄	〔宀九bj〕
匦	〔匚九kj〕
邽	〔土⻏te〕
鬶	〔夫鬲fg〕
炅	〔日火oh〕
筀	〔竹土vt〕
滚	〔氵公dg〕
棍	〔木匕mb〕
衮	〔衣公yg〕
鲧	〔鱼糸yx〕
磙	〔石公ug〕
辊	〔车匕ib〕
绲	〔纟匕sb〕
过	〔辶寸zc〕
国	〔囗玉ky〕
果	〔田木tm〕
郭	〔亠⻏we〕
锅	〔钅内jn〕
裹	〔衣果yg〕
蝈	〔虫玉iy〕
聒	〔耳舌eu〕
帼	〔巾玉jy〕
椁	〔木子mz〕
虢	〔爫几vj〕
埚	〔土内tn〕
呙	〔口内kn〕
崞	〔山子uz〕
腘	〔⺼玉oy〕
馘	〔丷{一}ba〕
粿	〔米果mg〕
蜾	〔虫果ig〕
馃	〔饣果ug〕
涡	〔氵内dn〕
𬇹	〔氵玉dy〕
哈	〔口口kk〕
铪	〔钅口jk〕
还	〔辶不zb〕
海	〔氵母dm〕
孩	〔子人zr〕
害	〔宀口bk〕
骇	〔马人mr〕
嗨	〔口母km〕
骸	〔冎人gr〕
亥	〔亠人wr〕
咳	〔口人kr〕
嗐	〔口口kk〕
氦	〔气人qr〕
醢	〔酉皿ym〕
胲	〔⺼人or〕
咍	〔口口kk〕
汉	〔氵又dy〕
寒	〔宀⺀bd〕
喊	〔口口kk〕
韩	〔十韦uw〕
汗	〔氵干dg〕
