serial number	character	token	ferquency(pre million)	total coverage rate(%)
1985	坛	74267	39.12243 	96.91232 
1986	脾	74235	39.10558 	96.91624 
1987	恒	74155	39.06343 	96.92014 
1988	屠	74112	39.04078 	96.92405 
1989	玻	74100	39.03446 	96.92795 
1990	蓉	74083	39.02550 	96.93185 
1991	础	74017	38.99074 	96.93575 
1992	曰	74013	38.98863 	96.93965 
1993	耸	74009	38.98652 	96.94355 
1994	膊	73983	38.97283 	96.94745 
1995	後	73938	38.94912 	96.95134 
1996	逆	73790	38.87116 	96.95523 
1997	寿	73701	38.82427 	96.95911 
1998	驱	73684	38.81532 	96.96299 
1999	猴	73614	38.77844 	96.96687 
2000	佣	73609	38.77581 	96.97075 
2001	毅	73576	38.75843 	96.97462 
2002	舅	73540	38.73946 	96.97850 
2003	铜	73454	38.69416 	96.98237 
2004	娟	73343	38.63569 	96.98623 
2005	眯	73287	38.60619 	96.99009 
2006	淫	73135	38.52612 	96.99394 
2007	吩	72921	38.41339 	96.99778 
2008	匪	72837	38.36914 	97.00162 
2009	牧	72623	38.25640 	97.00545 
2010	役	72621	38.25535 	97.00927 
2011	寄	72560	38.22322 	97.01309 
2012	诡	72548	38.21690 	97.01692 
2013	纤	72315	38.09416 	97.02073 
2014	腐	72243	38.05623 	97.02453 
2015	姻	72158	38.01145 	97.02833 
2016	晰	72136	37.99986 	97.03213 
2017	渊	72136	37.99986 	97.03593 
2018	亭	72135	37.99934 	97.03973 
2019	邀	72128	37.99565 	97.04353 
2020	哄	72071	37.96562 	97.04733 
2021	骚	72015	37.93612 	97.05112 
2022	墓	71994	37.92506 	97.05491 
2023	柯	71973	37.91400 	97.05871 
2024	筋	71688	37.76386 	97.06248 
2025	崔	71661	37.74964 	97.06626 
2026	灿	71504	37.66694 	97.07002 
2027	捷	71379	37.60109 	97.07378 
2028	淋	71208	37.51101 	97.07754 
2029	弗	71101	37.45464 	97.08128 
2030	辑	71050	37.42778 	97.08502 
2031	棍	70829	37.31136 	97.08876 
2032	绳	70768	37.27923 	97.09248 
2033	频	70697	37.24182 	97.09621 
2034	廊	70608	37.19494 	97.09993 
2035	畏	70481	37.12804 	97.10364 
2036	歇	70470	37.12225 	97.10735 
2037	裹	70440	37.10644 	97.11106 
2038	苗	70433	37.10275 	97.11477 
2039	盼	70327	37.04692 	97.11848 
2040	咯	70258	37.01057 	97.12218 
2041	耍	70234	36.99793 	97.12588 
2042	煞	70229	36.99529 	97.12958 
2043	寝	70179	36.96895 	97.13327 
2044	瞒	70085	36.91943 	97.13697 
2045	添	69960	36.85359 	97.14065 
2046	嫂	69851	36.79617 	97.14433 
2047	纠	69730	36.73243 	97.14800 
2048	慨	69723	36.72874 	97.15168 
2049	嚷	69716	36.72505 	97.15535 
2050	驰	69666	36.69871 	97.15902 
2051	拐	69575	36.65078 	97.16269 
2052	宴	69541	36.63287 	97.16635 
2053	津	69527	36.62549 	97.17001 
2054	岚	69463	36.59178 	97.17367 
2055	浴	69322	36.51750 	97.17732 
2056	耻	69286	36.49854 	97.18097 
2057	挽	69193	36.44955 	97.18462 
2058	页	69130	36.41636 	97.18826 
2059	誉	69067	36.38317 	97.19190 
2060	牲	68954	36.32365 	97.19553 
2061	乳	68901	36.29573 	97.19916 
2062	仓	68847	36.26728 	97.20279 
2063	逝	68598	36.13611 	97.20640 
2064	喉	68460	36.06342 	97.21001 
2065	逛	68458	36.06236 	97.21361 
2066	樱	68359	36.01021 	97.21721 
2067	兼	68324	35.99177 	97.22081 
2068	戈	68258	35.95701 	97.22441 
2069	哗	68257	35.95648 	97.22800 
2070	涯	68222	35.93804 	97.23160 
2071	捧	68202	35.92751 	97.23519 
2072	铭	68150	35.90011 	97.23878 
2073	障	67983	35.81214 	97.24236 
2074	摊	67974	35.80740 	97.24594 
2075	跨	67967	35.80371 	97.24952 
2076	妥	67901	35.76895 	97.25310 
2077	揉	67835	35.73418 	97.25667 
2078	晋	67736	35.68203 	97.26024 
2079	寞	67695	35.66043 	97.26381 
2080	寨	67653	35.63830 	97.26737 
2081	漆	67629	35.62566 	97.27093 
2082	污	67424	35.51767 	97.27448 
2083	嘲	67228	35.41442 	97.27803 
2084	枚	67198	35.39862 	97.28157 
2085	吊	67131	35.36332 	97.28510 
2086	乾	67122	35.35858 	97.28864 
2087	馨	67101	35.34752 	97.29217 
2088	伪	66990	35.28905 	97.29570 
2089	嗓	66941	35.26324 	97.29923 
2090	呈	66909	35.24638 	97.30275 
2091	卿	66819	35.19897 	97.30627 
2092	楠	66793	35.18527 	97.30979 
2093	籍	66610	35.08887 	97.31330 
2094	裸	66535	35.04936 	97.31680 
2095	链	66506	35.03409 	97.32031 
2096	灌	66346	34.94980 	97.32380 
2097	昆	66326	34.93927 	97.32730 
2098	畅	66298	34.92452 	97.33079 
2099	逍	66286	34.91819 	97.33428 
2100	帽	66271	34.91029 	97.33777 
2101	阅	66255	34.90186 	97.34126 
2102	逗	66171	34.85761 	97.34475 
2103	蹲	66158	34.85077 	97.34823 
2104	踩	66021	34.77860 	97.35171 
2105	窜	65974	34.75384 	97.35519 
2106	哑	65950	34.74120 	97.35866 
2107	趴	65882	34.70538 	97.36213 
2108	逢	65867	34.69747 	97.36560 
2109	植	65774	34.64848 	97.36907 
2110	媒	65752	34.63689 	97.37253 
2111	韵	65628	34.57157 	97.37599 
2112	昭	65610	34.56209 	97.37944 
2113	尹	65600	34.55682 	97.38290 
2114	谦	65522	34.51573 	97.38635 
2115	档	65508	34.50836 	97.38980 
2116	趟	65492	34.49993 	97.39325 
2117	沾	65300	34.39879 	97.39669 
2118	兔	65122	34.30502 	97.40012 
2119	订	65104	34.29554 	97.40355 
2120	朴	65002	34.24181 	97.40698 
2121	瞎	64955	34.21705 	97.41040 
2122	鞭	64899	34.18755 	97.41382 
2123	俺	64855	34.16437 	97.41723 
2124	斤	64823	34.14751 	97.42065 
2125	翅	64425	33.93786 	97.42404 
2126	肠	64217	33.82829 	97.42742 
2127	雀	64212	33.82565 	97.43081 
2128	慎	64154	33.79510 	97.43419 
2129	盆	64086	33.75928 	97.43756 
2130	迁	64084	33.75822 	97.44094 
2131	镖	64000	33.71397 	97.44431 
2132	芬	63866	33.64338 	97.44767 
2133	崖	63804	33.61072 	97.45103 
2134	丘	63759	33.58702 	97.45439 
2135	蠢	63523	33.46270 	97.45774 
2136	庙	63493	33.44690 	97.46108 
2137	潘	63492	33.44637 	97.46443 
2138	颖	63259	33.32363 	97.46776 
2139	拓	63143	33.26252 	97.47109 
2140	娶	63133	33.25725 	97.47441 
2141	纱	63048	33.21248 	97.47773 
2142	漏	62997	33.18561 	97.48105 
2143	谨	62778	33.07025 	97.48436 
2144	珊	62734	33.04707 	97.48766 
2145	仆	62312	32.82477 	97.49095 
2146	宙	62098	32.71204 	97.49422 
2147	尉	62071	32.69781 	97.49749 
2148	屑	62044	32.68359 	97.50076 
2149	叮	62022	32.67200 	97.50402 
2150	捂	61932	32.62459 	97.50729 
2151	涩	61921	32.61880 	97.51055 
2152	诧	61708	32.50659 	97.51380 
2153	柴	61680	32.49184 	97.51705 
2154	杆	61570	32.43390 	97.52029 
2155	涵	61454	32.37279 	97.52353 
2156	坠	61401	32.34487 	97.52676 
2157	赔	61380	32.33381 	97.53000 
2158	涨	61366	32.32643 	97.53323 
2159	嘟	61299	32.29114 	97.53646 
2160	崩	61288	32.28534 	97.53969 
2161	薛	61265	32.27323 	97.54291 
2162	藤	61231	32.25532 	97.54614 
2163	税	61205	32.24162 	97.54936 
2164	枯	61044	32.15681 	97.55258 
2165	译	60762	32.00826 	97.55578 
2166	帘	60741	31.99719 	97.55898 
2167	糖	60725	31.98877 	97.56218 
2168	愉	60639	31.94346 	97.56537 
2169	骄	60597	31.92134 	97.56857 
2170	羡	60457	31.84759 	97.57175 
2171	糕	60411	31.82336 	97.57493 
2172	彬	60398	31.81651 	97.57811 
2173	愚	60381	31.80755 	97.58129 
2174	疏	60274	31.75119 	97.58447 
2175	翰	60202	31.71326 	97.58764 
2176	堵	60165	31.69377 	97.59081 
2177	腕	60083	31.65057 	97.59398 
2178	眸	59961	31.58631 	97.59713 
2179	芸	59910	31.55944 	97.60029 
2180	溪	59612	31.40246 	97.60343 
2181	殷	59421	31.30184 	97.60656 
2182	谎	59414	31.29816 	97.60969 
2183	鼎	59165	31.16699 	97.61281 
2184	稿	59162	31.16541 	97.61592 
2185	哟	59051	31.10694 	97.61903 
2186	冤	59019	31.09008 	97.62214 
2187	症	58943	31.05004 	97.62525 
2188	棵	58780	30.96418 	97.62834 
2189	狄	58778	30.96312 	97.63144 
2190	咧	58774	30.96102 	97.63454 
2191	湘	58673	30.90781 	97.63763 
2192	宛	58603	30.87094 	97.64071 
2193	嫩	58594	30.86620 	97.64380 
2194	肆	58585	30.86146 	97.64689 
2195	宰	58463	30.79719 	97.64997 
2196	憾	58412	30.77032 	97.65304 
2197	偿	58352	30.73872 	97.65612 
2198	腔	58166	30.64073 	97.65918 
2199	哩	58164	30.63968 	97.66225 
2200	豹	58129	30.62124 	97.66531 
2201	瑰	58092	30.60175 	97.66837 
2202	鉴	58039	30.57383 	97.67143 
2203	绑	58012	30.55961 	97.67448 
2204	潇	57966	30.53538 	97.67754 
2205	戚	57840	30.46900 	97.68058 
2206	郡	57742	30.41738 	97.68362 
2207	澡	57698	30.39420 	97.68666 
2208	桂	57604	30.34468 	97.68970 
2209	兮	57566	30.32467 	97.69273 
2210	雯	57561	30.32203 	97.69576 
2211	颠	57525	30.30307 	97.69879 
2212	狮	57466	30.27199 	97.70182 
2213	邻	57417	30.24618 	97.70484 
2214	契	57408	30.24143 	97.70787 
2215	骇	57380	30.22668 	97.71089 
2216	卜	57367	30.21984 	97.71391 
2217	揭	57148	30.10447 	97.71692 
2218	妄	56997	30.02493 	97.71993 
2219	坑	56879	29.96277 	97.72292 
2220	伐	56861	29.95329 	97.72592 
2221	矩	56720	29.87901 	97.72891 
2222	烁	56718	29.87796 	97.73189 
2223	葬	56577	29.80368 	97.73487 
2224	诀	56532	29.77997 	97.73785 
2225	鄙	56240	29.62615 	97.74081 
2226	鹿	56206	29.60824 	97.74378 
2227	柏	56086	29.54503 	97.74673 
2228	溃	56002	29.50078 	97.74968 
2229	朕	55860	29.42598 	97.75262 
2230	舟	55739	29.36224 	97.75556 
2231	妆	55685	29.33379 	97.75849 
2232	躁	55588	29.28269 	97.76142 
2233	霉	55470	29.22053 	97.76434 
2234	侦	55445	29.20736 	97.76726 
2235	冻	55112	29.03195 	97.77017 
2236	娅	55108	29.02984 	97.77307 
2237	庸	55082	29.01614 	97.77597 
2238	筹	54932	28.93712 	97.77887 
2239	削	54894	28.91711 	97.78176 
2240	砰	54753	28.84283 	97.78464 
2241	耿	54708	28.81913 	97.78752 
2242	牺	54587	28.75539 	97.79040 
2243	筒	54584	28.75381 	97.79327 
2244	遂	54528	28.72431 	97.79615 
2245	旭	54482	28.70007 	97.79902 
2246	胎	54438	28.67690 	97.80188 
2247	惶	54202	28.55257 	97.80474 
2248	淑	54159	28.52992 	97.80759 
2249	叉	54152	28.52624 	97.81044 
2250	痒	54133	28.51623 	97.81330 
2251	竖	54125	28.51201 	97.81615 
2252	龟	54063	28.47935 	97.81900 
2253	斑	53974	28.43247 	97.82184 
2254	儒	53866	28.37558 	97.82468 
2255	嫣	53722	28.29972 	97.82751 
2256	宅	53376	28.11745 	97.83032 
2257	押	53350	28.10376 	97.83313 
2258	胃	53113	27.97891 	97.83593 
2259	旨	53094	27.96890 	97.83872 
2260	册	53084	27.96363 	97.84152 
2261	膝	52944	27.88988 	97.84431 
2262	浸	52615	27.71657 	97.84708 
2263	弦	52599	27.70815 	97.84985 
2264	栏	52541	27.67759 	97.85262 
2265	衷	52515	27.66390 	97.85539 
2266	刮	52316	27.55907 	97.85814 
2267	艇	52284	27.54221 	97.86090 
2268	岗	52253	27.52588 	97.86365 
2269	赴	52184	27.48953 	97.86640 
2270	囊	52069	27.42895 	97.86914 
2271	斧	52064	27.42632 	97.87188 
2272	颊	52050	27.41894 	97.87462 
2273	疆	51900	27.33993 	97.87736 
2274	炉	51848	27.31253 	97.88009 
2275	塌	51754	27.26302 	97.88282 
2276	乞	51739	27.25511 	97.88554 
2277	旺	51739	27.25511 	97.88827 
2278	烤	51737	27.25406 	97.89099 
2279	黛	51658	27.21244 	97.89371 
2280	逊	51585	27.17399 	97.89643 
2281	贱	51519	27.13922 	97.89914 
2282	辨	51442	27.09866 	97.90185 
2283	狸	51416	27.08496 	97.90456 
2284	叙	51398	27.07548 	97.90727 
2285	愕	51262	27.00384 	97.90997 
2286	叠	51212	26.97750 	97.91267 
2287	遣	51164	26.95221 	97.91536 
2288	晌	51129	26.93378 	97.91806 
2289	麟	51074	26.90480 	97.92075 
2290	腥	51054	26.89427 	97.92344 
2291	粒	50991	26.86108 	97.92612 
2292	拟	50704	26.70990 	97.92879 
2293	俏	50651	26.68198 	97.93146 
2294	杖	50648	26.68040 	97.93413 
2295	芝	50352	26.52447 	97.93678 
2296	夷	50315	26.50498 	97.93943 
2297	衬	50272	26.48233 	97.94208 
2298	佐	50271	26.48180 	97.94473 
2299	巷	50218	26.45388 	97.94738 
2300	捡	50151	26.41859 	97.95002 
2301	遵	50067	26.37434 	97.95265 
2302	塑	49903	26.28794 	97.95528 
2303	桶	49900	26.28636 	97.95791 
2304	泼	49867	26.26898 	97.96054 
2305	滩	49853	26.26161 	97.96317 
2306	琼	49778	26.22210 	97.96579 
2307	昊	49733	26.19839 	97.96841 
2308	帆	49724	26.19365 	97.97103 
2309	搏	49712	26.18733 	97.97365 
2310	颈	49665	26.16257 	97.97626 
2311	噢	49608	26.13254 	97.97887 
2312	蹦	49581	26.11832 	97.98149 
2313	寡	49558	26.10620 	97.98410 
2314	贞	49540	26.09672 	97.98671 
2315	凰	49489	26.06986 	97.98931 
2316	哨	49486	26.06828 	97.99192 
2317	拆	49444	26.04615 	97.99453 
2318	茹	49430	26.03878 	97.99713 
2319	劣	49371	26.00770 	97.99973 
2320	嘱	49354	25.99874 	98.00233 
2321	沃	49337	25.98979 	98.00493 
2322	厢	49241	25.93922 	98.00752 
2323	摘	49225	25.93079 	98.01012 
2324	咋	49191	25.91288 	98.01271 
2325	坤	49143	25.88759 	98.01530 
2326	俯	49115	25.87284 	98.01788 
2327	媳	49077	25.85282 	98.02047 
2328	赋	48946	25.78381 	98.02305 
2329	嘶	48914	25.76696 	98.02562 
2330	贡	48905	25.76222 	98.02820 
2331	碌	48886	25.75221 	98.03078 
2332	匙	48847	25.73166 	98.03335 
2333	拢	48821	25.71797 	98.03592 
2334	谭	48779	25.69584 	98.03849 
2335	翁	48774	25.69321 	98.04106 
2336	辜	48645	25.62525 	98.04362 
2337	竭	48555	25.57784 	98.04618 
2338	廉	48551	25.57574 	98.04874 
2339	械	48533	25.56625 	98.05129 
2340	贸	48254	25.41928 	98.05384 
2341	辅	48161	25.37029 	98.05637 
2342	讽	48150	25.36450 	98.05891 
2343	呐	48065	25.31972 	98.06144 
2344	斌	48027	25.29970 	98.06397 
2345	辽	47836	25.19909 	98.06649 
2346	填	47816	25.18855 	98.06901 
2347	窃	47730	25.14325 	98.07152 
2348	抄	47668	25.11059 	98.07404 
2349	溢	47668	25.11059 	98.07655 
2350	妒	47550	25.04843 	98.07905 
2351	吁	47540	25.04316 	98.08156 
2352	嗦	47528	25.03684 	98.08406 
2353	掀	47524	25.03473 	98.08656 
2354	芙	47397	24.96783 	98.08906 
2355	祈	47360	24.94834 	98.09155 
2356	栋	47210	24.86932 	98.09404 
2357	吱	47132	24.82823 	98.09652 
2358	撇	47004	24.76081 	98.09900 
2359	胞	46906	24.70918 	98.10147 
2360	轿	46864	24.68706 	98.10394 
2361	禅	46691	24.59592 	98.10640 
2362	妨	46595	24.54535 	98.10885 
2363	拂	46508	24.49952 	98.11130 
2364	倦	46376	24.42999 	98.11375 
2365	衰	46360	24.42156 	98.11619 
2366	靖	46359	24.42103 	98.11863 
2367	循	46243	24.35993 	98.12107 
2368	挪	46163	24.31778 	98.12350 
2369	蓬	46160	24.31620 	98.12593 
2370	惩	46147	24.30936 	98.12836 
2371	垃	46134	24.30251 	98.13079 
2372	账	46126	24.29829 	98.13322 
2373	驳	46073	24.27037 	98.13565 
2374	署	46050	24.25826 	98.13807 
2375	甫	46012	24.23824 	98.14050 
2376	顽	45970	24.21612 	98.14292 
2377	姥	45943	24.20189 	98.14534 
2378	圾	45932	24.19610 	98.14776 
2379	熬	45832	24.14342 	98.15017 
2380	枕	45747	24.09864 	98.15258 
2381	丐	45707	24.07757 	98.15499 
2382	茜	45676	24.06124 	98.15740 
2383	咦	45558	23.99908 	98.15980 
2384	厕	45544	23.99171 	98.16220 
2385	攀	45399	23.91532 	98.16459 
2386	彤	45357	23.89320 	98.16698 
2387	妍	45256	23.83999 	98.16936 
2388	拽	45251	23.83736 	98.17175 
2389	荆	45203	23.81207 	98.17413 
2390	妓	45162	23.79048 	98.17651 
2391	壶	45112	23.76414 	98.17888 
2392	於	45065	23.73938 	98.18126 
2393	寇	45004	23.70724 	98.18363 
2394	鹤	44828	23.61453 	98.18599 
2395	钥	44779	23.58872 	98.18835 
2396	骤	44774	23.58609 	98.19071 
2397	渺	44689	23.54131 	98.19306 
2398	刊	44631	23.51076 	98.19541 
2399	肢	44527	23.45597 	98.19776 
2400	烛	44470	23.42594 	98.20010 
2401	孕	44402	23.39012 	98.20244 
2402	绽	44371	23.37379 	98.20478 
2403	彦	44325	23.34956 	98.20711 
2404	棉	44297	23.33481 	98.20944 
2405	俘	44283	23.32744 	98.21178 
2406	盔	44274	23.32269 	98.21411 
2407	剪	44250	23.31005 	98.21644 
2408	诞	44248	23.30900 	98.21877 
2409	兜	44209	23.28845 	98.22110 
2410	凛	44092	23.22682 	98.22342 
2411	岭	44076	23.21839 	98.22574 
2412	嚣	44058	23.20891 	98.22806 
2413	溅	44042	23.20048 	98.23038 
2414	笛	43923	23.13779 	98.23270 
2415	舱	43880	23.11514 	98.23501 
2416	罕	43875	23.11251 	98.23732 
2417	鸭	43846	23.09723 	98.23963 
2418	债	43823	23.08512 	98.24194 
2419	噬	43821	23.08406 	98.24425 
2420	钉	43726	23.03402 	98.24655 
2421	躬	43678	23.00873 	98.24885 
2422	倚	43627	22.98187 	98.25115 
2423	缕	43622	22.97923 	98.25345 
2424	咚	43570	22.95184 	98.25574 
2425	撼	43501	22.91549 	98.25804 
2426	蕊	43461	22.89442 	98.26032 
2427	侄	43424	22.87493 	98.26261 
2428	佑	43281	22.79960 	98.26489 
2429	雁	43201	22.75746 	98.26717 
2430	隶	43103	22.70583 	98.26944 
2431	践	43098	22.70320 	98.27171 
2432	拱	43077	22.69214 	98.27398 
2433	沐	43038	22.67159 	98.27624 
2434	菊	43031	22.66791 	98.27851 
2435	蜂	43028	22.66633 	98.28078 
2436	裕	43025	22.66475 	98.28304 
2437	兆	42927	22.61312 	98.28531 
2438	搅	42862	22.57888 	98.28756 
2439	尿	42861	22.57835 	98.28982 
2440	黯	42786	22.53884 	98.29208 
2441	歹	42757	22.52357 	98.29433 
2442	蓄	42731	22.50987 	98.29658 
2443	朦	42683	22.48459 	98.29883 
2444	嘀	42614	22.44824 	98.30107 
2445	怯	42612	22.44719 	98.30332 
2446	叨	42609	22.44560 	98.30556 
2447	纽	42599	22.44034 	98.30781 
2448	聘	42542	22.41031 	98.31005 
2449	腻	42294	22.27967 	98.31227 
2450	剥	42275	22.26966 	98.31450 
2451	彪	42248	22.25544 	98.31673 
2452	沸	42184	22.22172 	98.31895 
2453	氓	42109	22.18221 	98.32117 
2454	榜	41985	22.11689 	98.32338 
2455	逻	41947	22.09688 	98.32559 
2456	壳	41877	22.06000 	98.32780 
2457	储	41834	22.03735 	98.33000 
2458	憋	41712	21.97308 	98.33220 
2459	啤	41686	21.95939 	98.33439 
2460	匠	41638	21.93410 	98.33659 
2461	悍	41628	21.92883 	98.33878 
2462	昧	41576	21.90144 	98.34097 
2463	泊	41521	21.87247 	98.34316 
2464	篷	41474	21.84771 	98.34534 
2465	烫	41461	21.84086 	98.34752 
2466	狡	41377	21.79661 	98.34970 
2467	轨	41123	21.66281 	98.35187 
2468	汹	41021	21.60908 	98.35403 
2469	携	41009	21.60276 	98.35619 
2470	磊	40900	21.54534 	98.35835 
2471	隙	40876	21.53269 	98.36050 
2472	仑	40840	21.51373 	98.36265 
2473	摧	40766	21.47475 	98.36480 
2474	瞄	40747	21.46474 	98.36694 
2475	胧	40688	21.43366 	98.36909 
2476	趋	40579	21.37624 	98.37123 
2477	挠	40573	21.37308 	98.37336 
2478	煌	40547	21.35938 	98.37550 
2479	擅	40475	21.32145 	98.37763 
2480	卒	40372	21.26720 	98.37976 
2481	饼	40371	21.26667 	98.38188 
2482	狭	40342	21.25139 	98.38401 
2483	丸	40281	21.21926 	98.38613 
2484	惫	40277	21.21715 	98.38825 
2485	瞅	40255	21.20556 	98.39037 
2486	犬	40178	21.16500 	98.39249 
2487	砖	40050	21.09757 	98.39460 
2488	矣	40045	21.09494 	98.39671 
2489	楞	40000	21.07123 	98.39882 
2490	昔	39983	21.06228 	98.40092 
2491	裳	39939	21.03910 	98.40303 
2492	骆	39888	21.01223 	98.40513 
2493	雇	39820	20.97641 	98.40723 
2494	阎	39776	20.95323 	98.40932 
2495	骷	39696	20.91109 	98.41141 
2496	鸦	39645	20.88423 	98.41350 
2497	妞	39626	20.87422 	98.41559 
2498	墅	39604	20.86263 	98.41767 
2499	焚	39561	20.83998 	98.41976 
2500	谱	39455	20.78414 	98.42184 
2501	绘	39443	20.77782 	98.42391 
2502	梳	39377	20.74305 	98.42599 
2503	肿	39306	20.70565 	98.42806 
2504	魁	39294	20.69933 	98.43013 
2505	耽	39196	20.64770 	98.43219 
2506	擒	39189	20.64401 	98.43426 
2507	陡	39114	20.60451 	98.43632 
2508	璋	38930	20.50758 	98.43837 
2509	茂	38926	20.50547 	98.44042 
2510	蹄	38922	20.50336 	98.44247 
2511	瞥	38910	20.49704 	98.44452 
2512	瞳	38812	20.44542 	98.44656 
2513	髅	38797	20.43752 	98.44861 
2514	绣	38793	20.43541 	98.45065 
2515	硕	38779	20.42803 	98.45269 
2516	肺	38759	20.41750 	98.45474 
2517	兹	38585	20.32584 	98.45677 
2518	炒	38581	20.32373 	98.45880 
2519	邮	38473	20.26684 	98.46083 
2520	弘	38264	20.15674 	98.46284 
2521	嫉	38200	20.12303 	98.46486 
2522	届	38051	20.04454 	98.46686 
2523	嗡	38010	20.02294 	98.46886 
2524	娱	37970	20.00187 	98.47086 
2525	喧	37906	19.96815 	98.47286 
2526	脂	37878	19.95340 	98.47486 
2527	膛	37836	19.93128 	98.47685 
2528	沧	37794	19.90915 	98.47884 
2529	疚	37765	19.89388 	98.48083 
2530	盐	37729	19.87491 	98.48282 
2531	扁	37657	19.83699 	98.48480 
2532	搁	37572	19.79221 	98.48678 
2533	茅	37567	19.78958 	98.48876 
2534	滔	37516	19.76271 	98.49073 
2535	坟	37471	19.73900 	98.49271 
2536	掐	37391	19.69686 	98.49468 
2537	瑜	37277	19.63681 	98.49664 
2538	邱	37273	19.63470 	98.49861 
2539	桐	37139	19.56411 	98.50056 
2540	茵	37135	19.56201 	98.50252 
2541	苹	37052	19.51828 	98.50447 
2542	旷	37033	19.50827 	98.50642 
2543	翘	37030	19.50669 	98.50837 
2544	郝	36991	19.48615 	98.51032 
2545	蓦	36965	19.47245 	98.51227 
2546	诈	36959	19.46929 	98.51421 
2547	沫	36929	19.45349 	98.51616 
2548	菁	36920	19.44875 	98.51810 
2549	粹	36862	19.41820 	98.52005 
2550	琢	36857	19.41556 	98.52199 
2551	腊	36785	19.37763 	98.52393 
2552	钦	36673	19.31863 	98.52586 
2553	喻	36595	19.27754 	98.52778 
2554	宪	36534	19.24541 	98.52971 
2555	锻	36524	19.24014 	98.53163 
2556	睹	36521	19.23856 	98.53356 
2557	郊	36462	19.20748 	98.53548 
2558	饥	36390	19.16955 	98.53740 
2559	侃	36358	19.15270 	98.53931 
2560	粘	36321	19.13321 	98.54122 
2561	媛	36310	19.12741 	98.54314 
2562	谊	36241	19.09106 	98.54505 
2563	恳	36239	19.09001 	98.54695 
2564	厮	36225	19.08264 	98.54886 
2565	锤	36163	19.04998 	98.55077 
2566	凳	36123	19.02890 	98.55267 
2567	淮	36109	19.02153 	98.55457 
2568	蔽	36096	19.01468 	98.55647 
2569	聂	36076	19.00415 	98.55837 
2570	贩	35971	18.94883 	98.56027 
2571	潭	35887	18.90458 	98.56216 
2572	翩	35855	18.88773 	98.56405 
2573	呻	35841	18.88035 	98.56594 
2574	枉	35783	18.84980 	98.56782 
2575	拘	35775	18.84558 	98.56971 
2576	煮	35755	18.83505 	98.57159 
2577	焉	35627	18.76762 	98.57347 
2578	址	35618	18.76288 	98.57534 
2579	匕	35573	18.73917 	98.57722 
2580	渗	35558	18.73127 	98.57909 
2581	览	35433	18.66543 	98.58096 
2582	敦	35424	18.66068 	98.58282 
2583	厦	35375	18.63487 	98.58469 
2584	蕴	35330	18.61117 	98.58655 
2585	冉	35293	18.59168 	98.58841 
2586	薪	35145	18.51371 	98.59026 
2587	呃	35105	18.49264 	98.59211 
2588	峻	35003	18.43891 	98.59395 
2589	荐	34960	18.41626 	98.59579 
2590	栽	34930	18.40045 	98.59763 
2591	嚎	34929	18.39993 	98.59947 
2592	汁	34923	18.39677 	98.60131 
2593	傍	34850	18.35831 	98.60315 
2594	秃	34762	18.31196 	98.60498 
2595	磕	34654	18.25506 	98.60680 
2596	禀	34572	18.21187 	98.60863 
2597	珑	34559	18.20502 	98.61045 
2598	坎	34469	18.15761 	98.61226 
2599	邵	34414	18.12864 	98.61408 
2600	萌	34408	18.12548 	98.61589 
2601	窄	34397	18.11968 	98.61770 
2602	阮	34363	18.10177 	98.61951 
2603	蹈	34345	18.09229 	98.62132 
2604	碑	34260	18.04751 	98.62312 
2605	婶	34226	18.02960 	98.62493 
2606	煤	34203	18.01748 	98.62673 
2607	寓	34060	17.94216 	98.62852 
2608	栈	34054	17.93899 	98.63032 
2609	滞	34050	17.93689 	98.63211 
2610	倘	34043	17.93320 	98.63390 
2611	杭	34033	17.92793 	98.63570 
2612	暇	33980	17.90001 	98.63749 
2613	狈	33949	17.88368 	98.63927 
2614	峡	33938	17.87789 	98.64106 
2615	侣	33933	17.87525 	98.64285 
2616	芦	33912	17.86419 	98.64464 
2617	蔓	33854	17.83364 	98.64642 
2618	蒸	33714	17.75989 	98.64820 
2619	禄	33704	17.75462 	98.64997 
2620	胀	33681	17.74251 	98.65175 
2621	醋	33580	17.68930 	98.65351 
2622	淌	33568	17.68298 	98.65528 
2623	伞	33523	17.65927 	98.65705 
2624	姊	33464	17.62819 	98.65881 
2625	钩	33452	17.62187 	98.66057 
2626	衍	33445	17.61819 	98.66234 
2627	妾	33441	17.61608 	98.66410 
2628	嘎	33414	17.60185 	98.66586 
2629	蜀	33368	17.57762 	98.66762 
2630	蝴	33327	17.55602 	98.66937 
2631	萝	33284	17.53337 	98.67112 
2632	莽	33238	17.50914 	98.67287 
2633	弩	33228	17.50387 	98.67463 
2634	祷	33213	17.49597 	98.67637 
2635	稚	33182	17.47964 	98.67812 
2636	圳	33157	17.46647 	98.67987 
2637	徽	33080	17.42591 	98.68161 
2638	衙	33073	17.42222 	98.68335 
2639	咸	33066	17.41854 	98.68510 
2640	陋	32986	17.37639 	98.68683 
2641	奢	32985	17.37587 	98.68857 
2642	罐	32951	17.35796 	98.69031 
2643	霄	32916	17.33952 	98.69204 
2644	毙	32880	17.32055 	98.69377 
2645	汝	32816	17.28684 	98.69550 
2646	敞	32687	17.21889 	98.69722 
2647	暮	32619	17.18306 	98.69894 
2648	嘘	32604	17.17516 	98.70066 
