〇	lgoo
瓜	gquu
瓞	dduu
瓢	pcvi
瓣	bfov
瓤	rpov
瓦	wsva
瓷	ckov
甑	zrou
甘	gfvi
甲	jsia
申	enia
甸	dmua
画	hqvi
畅	jpia
畋	tmia
界	jdia
畑	tmou
畔	pfia
畜	jjov
畸	jkia
疁	lqia
疃	ttia
疆	jxav
疏	ejai
疗	lcov
疚	jqov
疝	efov
疟	yzov
疢	jnov
疣	ydov
疤	bsov
疥	jdov
疭	zyov
疮	wmov
疮	wxov
疱	pzov
疳	gfov
疸	dfov
疹	qnov
疽	jlov
疾	jkov
痂	jsov
症	qrov
痊	qtov
痒	ypov
痔	fkov
痕	hnov
痘	ddov
痨	lzov
痪	htov
痫	xmov
痰	tfov
痼	gjov
痿	wwov
瘁	cbov
瘊	hdov
瘙	szov
瘤	lqov
瘥	clov
瘦	edov
瘪	bdov
瘭	bcov
瘳	wdov
瘾	ybov
癃	lyov
癌	xhov
癖	pkov
癫	dmov
癯	qlov
癿	qdui
皂	zzui
皆	jdva
皈	gbui
皎	jcui
皕	bkvu
皖	wfui
皞	hzui
皲	jwoa
盉	heuv
盏	qfvv
盐	yfvo
盒	heiv
盔	kbvu
盗	dzov
盛	ervu
盛	jrvu
盥	gtui
直	fkuo
盹	dwia
盾	dwuu
眈	dfia
眉	mwai
眍	kdia
眨	fsia
眩	xtia
眬	lyia
眺	tcia
着	fzou
着	qzou
睁	qria
睃	slia
睐	lhia
睛	jgia
睥	bkia
睦	mjia
睨	nkia
睬	chia
睹	djia
睽	kbia
睾	gzui
睿	rbiv
瞄	mcia
瞅	wdia
瞋	jnia
瞌	keia
瞍	sdia
瞑	mgia
瞠	jria
瞭	lcia
瞰	kfia
瞳	tyia
瞻	qfia
瞿	qlia
矗	jjuo
矜	qbao
矣	ykao
矧	enuv
矩	jluv
矮	xhuv
石	dfvu
石	ekvu
矼	gpvu
矿	kmvu
矿	kxvu
砀	dpvu
砂	esvu
砉	hqvv
砌	qdvu
砍	kfvu
砑	ysvu
砖	ftvu
砗	jevu
砗	wevu
砘	dwvu
砣	tlvu
砥	dkvu
砧	qnvu
砩	fjvu
砬	lsvu
砭	bmvu
砰	prvu
砳	levu
砷	envu
砼	tyvu
础	jjvu
硅	gbvu
硇	nzvu
硌	llvu
硎	xgvu
硐	dyvu
硝	xcvu
硪	wlvu
硫	lqvu
硿	kyvu
碃	qgvu
碇	dgvu
碈	mbvu
碌	ljvu
碍	xhvu
碏	qhvu
碑	bwvu
碓	dbvu
碗	wfvu
碟	ddvu
碡	fdvu
碧	bkvv
碳	tfvu
碴	wsvu
碹	xtvu
碾	nmvu
磁	ckvu
磅	bpvu
磊	lwvu
磔	fevu
磔	qevu
磕	kevu
磙	gwvu
磨	mlov
磲	qlvu
磷	lbvu
磹	dmvu
磻	pfvu
礁	jcvu
礓	jxvu
礞	mrvu
礵	emvu
礵	exvu
礼	lkoa
祂	tsoa
祃	msoa
祊	broa
祋	dboa
祖	zjoa
祚	zloa
祠	ckoa
祠	skoa
祧	tcoa
祭	qhua
祯	qnoa
祷	dzoa
祸	hloa
祾	lgoa
禄	ljoa
福	fjoa
禧	xkoa
禳	rpoa
离	lkov
秃	tjuv
秉	bguv
种	wyuv
秘	bkuv
秣	mluv
秧	ypuv
积	jkuv
秸	jduv
移	ykuv
秽	hbuv
秾	nyuv
稀	xkuv
稂	lpuv
程	jruv
稔	rnuv
稞	keuv
稻	dzuv
稼	jsuv
稿	gzuv
穆	mjuv
穑	seuv
穜	tyuv
穟	sbuv
穴	xhoo
窀	qwoo
突	tjoo
窄	fhoo
窄	qhoo
窆	bmoo
窍	qcoo
窎	dcoo
窑	yzoo
窒	fkoo
窕	tcoo
窟	kjoo
窥	kboo
窦	ddoo
窿	lyoo
竖	ejii
竣	jwov
童	tyov
竦	syov
端	dtov
竹	qjuv
竽	yluv
竿	gfuv
笆	bsuv
笊	fzuv
笊	qzuv
笞	wkuv
笥	skuv
符	fjuv
笪	dsuv
笫	zkuv
笮	zluv
笸	pluv
筋	jbuv
筌	qtuv
筐	kmuv
筐	kxuv
策	ceuv
筝	qruv
筠	jwuv
筢	psuv
筲	ezuv
筹	wduv
签	qmuv
箍	gjuv
箐	jguv
箖	lbuv
箢	ytuv
箩	lluv
箫	xcuv
箭	jmuv
箴	qnuv
篌	hduv
篑	kbuv
篓	lduv
篝	gduv
篷	pruv
簉	zzuv
簋	gbuv
簌	sjuv
簕	leuv
簖	dtuv
簝	lcuv
簟	dmuv
簧	hmuv
簧	hxuv
簪	zfuv
簰	phuv
籥	yhuv
籴	dkuo
粄	bfoo
粒	lkou
粕	plou
粘	qfou
粜	tcai
粟	sjvi
粥	fdav
粪	fnou
粮	lxou
粱	lxaa
粲	cfiv
粹	cbou
粼	lbou
粽	zyou
精	jgou
糁	enou
糅	rdou
糇	hdou
糌	zfou
糜	mwov
糠	kpou
糬	ejou
糯	nlou
糸	mkaa
紊	wnov
素	sjvv
紧	jbii
綮	qgoa
繁	ffuv
繇	fduo
纠	jqaa
红	gyaa
纤	qmaa
纤	xmaa
纥	geaa
纥	heaa
级	jkaa
纫	rnaa
纬	wwaa
纭	ywaa
纰	bkaa
纰	pkaa
纱	esaa
纲	gpaa
纶	lwaa
纸	fkaa
纹	wnaa
纺	fpaa
纽	nqaa
纾	ejaa
绀	gfaa
细	xkaa
绌	jjaa
绐	dhaa
绒	ryaa
结	jdaa
绖	ddaa
绗	hpaa
绘	hbaa
绚	xtaa
络	lzaa
统	tyaa
绠	graa
绥	sbaa
绦	tzaa
绪	xlaa
绫	lgaa
绰	wlaa
绱	epaa
绲	gwaa
绳	eraa
绸	wdaa
绺	lqaa
绻	qtaa
综	zyaa
绽	qfaa
绾	wfaa
绿	ljaa
缀	fbaa
缂	keaa
缅	mmaa
缆	lfaa
缇	tkaa
缑	gdaa
缔	dkaa
编	bmaa
缗	mbaa
缘	ytaa
缚	fjaa
缛	rjaa
缜	qnaa
缞	cbaa
缤	bbaa
缥	pcaa
缦	mfaa
缨	ygaa
缫	szaa
缬	xdaa
缭	lcaa
缮	efaa
缯	zraa
缰	jxaa
缵	ztaa
罄	qgvo
罅	xsuv
罐	gtuv
罔	wpia
罕	hfoa
罢	bsia
罩	fzia
罩	qzia
置	fkia
署	ejia
罹	lkia
罾	zria
羊	ypou
羌	qxou
羔	gzou
羚	lgou
羡	xmou
羧	slou
羯	jdou
羰	tpou
羱	ytou
羸	lwov
羹	grou
翀	wyao
翃	hyvu
翅	wkuo
翔	xxou
翕	xkiv
翘	qcva
翟	dkao
翰	hfuo
翳	ykvu
翻	ffuo
耀	yzio
耇	gduo
耑	dtia
耒	lwvv
耔	zkvv
耘	ywvv
耙	bsvv
耙	psvv
耜	skvv
耠	hlvv
耢	lzvv
耧	ldvv
耨	ndvv
耩	jxvv
耪	ppvv
耶	yevi
耷	dsvu
耻	wkvi
耿	grvi
聃	dfvi
聆	lgvi
聋	lyvu
职	fkvi
聍	ngvi
聚	jlvi
肌	jkuu
肏	czuo
肓	hmov
肓	hxov
肖	xcio
肘	fduv
肚	djuv
肛	gpuv
肟	wluv
股	gjuu
肩	jmoa
肪	fpuo
肭	nsui
肱	gyuv
育	ylov
肺	fwuv
肽	thuv
肾	enii
肿	fyui
胁	xdua
胂	enui
胆	dfuo
背	bwiv
胖	pfuo
胗	qnui
胜	eruu
胞	bzuu
胠	qluv
胥	xlai
胧	lyuv
胨	dyuv
胪	ljui
胭	yfui
胱	gmui
胱	gxui
胲	hhuo
胳	gsuu
胴	dyui
胶	jcuo
胺	xfuo
胼	pmuo
脉	mhuo
脍	kgui
脎	ssuu
脐	qkuo
脖	bluu
脚	jcuv
脞	clui
脟	lduu
脩	xqii
脬	pzuu
脲	ncua
脶	lluo
脿	bcuv
腆	tmui
腋	yeuo
腌	yfuv
腐	fjov
腓	fwui
腕	wfuo
腘	glui
腧	ejui
腩	nfuu
腭	xeuo
腯	tjuu
腹	fjuu
腺	xmuu
腼	mmuv
膀	ppuo
膈	geuv
膊	bluv
膏	gzov
膙	jxua
膛	tpui
膦	lbuo
膳	efuo
臁	lmuo
臂	bwav
臆	ykuo
臑	nzuv
臜	zsuo
臜	zsuu
臭	wdui
臭	xqui
致	fkva
臻	qnva
舅	jqui
舆	ylui
舌	eeuv
舒	ejiv
舔	tmuv
舛	wtua
舜	ewuo
舞	wjuv
舟	fduu
舠	dzuu
舡	wtuu
舢	efuu
舥	psuu
舫	fpuu
般	bfuu
舯	fyuu
舰	jmuu
舲	lguu
舳	qjuu
舵	dluu
舸	geuu
舻	ljuu
艄	ezuu
艏	eduu
艘	sduu
艟	wyuu
艨	mruu
良	lxoa
艰	jmao
色	ehua
艳	yfvv
艹	czii
艺	ykii
艽	qqii
艿	nhii
芄	wfii
芈	mkiv
芋	ylii
芏	djii
芗	xxii
芘	pkii
芙	fjii
芜	wjii
芝	fkii
芠	wnii
芥	ghii
芦	ljii
芪	qkii
芬	fnii
芭	bsii
花	hqii
芳	fpii
芸	ywii
芹	qbii
芽	ysii
苄	bmii
苍	cpii
苑	ytii
苒	rfii
苔	thii
苕	ezii
苕	tcii
苛	keii
苟	gdii
苠	mbii
苫	efii
苷	gfii
苹	pgii
茂	mzii
茈	zkii
茌	wkii
茏	lyii
茗	mgii
茜	qmii
茜	xkii
茨	ckii
茳	jxii
茶	wsii
茹	rjii
茺	wyii
茼	tyii
荀	xwii
荃	qtii
荑	tkii
荙	dsii
荛	rzii
荟	hbii
荡	dpii
荥	xgii
荪	swii
荫	ybii
荮	fdii
荷	heii
荼	tjii
荽	sbii
莉	lkii
莎	esii
莓	mwii
莝	clii
莞	gtii
莨	lpii
莨	lxii
莰	kfii
莱	lhii
莳	ekii
莴	wlii
莶	lmii
莽	mpii
菇	gjii
菌	jwii
菡	hfii
菱	lgii
菲	fwii
菸	yfii
菹	zjii
菼	tfii
萃	cbii
萄	tzii
萌	mrii
萎	wwii
萏	dfii
萑	htii
萚	tlii
萜	tdii
萝	llii
萣	dgii
营	ygii
萧	xcii
萱	xtii
萳	nfii
萼	xeii
落	lsii
落	lzii
葑	frii
著	flii
著	qjii
葜	qsii
葩	psii
葫	hjii
葱	cyii
葶	tgii
蒂	dkii
蒇	jfii
蒈	khii
蒉	kbii
蒌	ldii
蒐	sdii
蒛	qhii
蒡	bpii
蒴	elii
蒸	qrii
蒽	xnii
蓄	xlii
蓉	ryii
蓑	slii
蓓	bwii
蓖	bkii
蓬	prii
蓼	lcii
蔀	bjii
蔈	bcii
蔌	sjii
蔑	mdii
蔓	mfii
蔗	feii
蔗	qeii
蔟	cjii
蔫	nmii
蔷	qxii
蔸	ddii
蔺	lbii
蔻	kdii
蕃	ffii
蕉	jcii
蕊	rbii
蕖	qlii
蕞	zbii
蕨	jhii
蕹	wrii
薄	blii
薄	bzii
薅	hzii
薛	xhii
薨	hyii
薪	xbii
薸	pcii
薿	nkii
藁	gzii
藉	jdii
藉	jkii
藐	mcii
藿	hlii
蘖	ndii
蘘	rpii
蘸	qfii
蘼	mkii
虎	hjiv
虏	ljiv
虑	lliv
虒	skuu
虢	gluo
虱	ekau
虺	hbvu
虻	mria
虾	hsia
虾	xsia
虿	jhva
蚂	msia
蚄	fpia
蚋	rbia
蚌	bpia
蚌	bria
蚓	ybia
蚕	cfvv
蚝	hzia
蚣	gyia
蚤	zzao
蚩	wkai
蚯	qqia
蚶	hfia
蚺	rfia
蛃	bgia
蛇	eeia
蛋	dfai
蛔	hbia
蛙	wsia
蛞	klia
蛟	jcia
蛮	mfov
蛲	nzia
蛸	ezia
蛹	yyia
蛾	xeia
蜂	fria
蜈	wjia
蜒	yfia
蜓	tgia
蜗	wlia
蜜	mkoo
蜡	lsia
蜣	qxia
蜷	qtia
蜻	qgia
蜿	wfia
蝂	bfia
蝇	ygia
蝉	jfia
蝎	xdia
蝙	bmia
蝴	hjia
蝶	ddia
螅	xkia
螓	qbia
螣	truo
螬	czia
螭	wkia
螳	tpia
螵	pcia
螽	fyua
蟀	egia
蟊	mzao
蟒	mpia
蟓	xxia
蟛	pria
蟮	efia
蟷	dpia
蠊	lmia
蠕	rjia
蠛	mdia
蠡	lkaa
蠢	jwvv
蠹	djvi
血	xdui
血	xhui
衃	pwui
衅	xbui
衍	yfuu
街	jduu
衠	qwuu
衢	qluu
衣	ykov
衬	jnoa
衰	egov
衲	nsoa
衽	rnoa
袁	ytvo
袂	mwoa
袄	xzoa
袍	pzoa
袖	xqoa
袜	wsoa
袢	pfoa
袼	geoa
裂	ldvu
裈	kwoa
裉	knoa
裕	yloa
裘	qqvi
裙	qwoa
裢	lmoa
裤	kjoa
裨	bkoa
裨	pkoa
裴	pwiv
裸	lloa
裹	glov
裼	tkoa
褂	gqoa
褒	bzov
褓	bzoa
褙	bwoa
褚	jjoa
褡	dsoa
褪	twoa
褴	lfoa
褶	feoa
褶	qeoa
襁	qxoa
襟	jboa
襦	rjoa
覃	tfvi
覆	fjvi
觅	mkuo
觇	jfiv
览	lfii
觉	jcoo
觏	gdvv
角	jcua
觚	gjua
觜	zbiv
觟	hqua
觥	gyua
触	jjua
誊	trou
謇	jmoo
謦	qguo
计	jkoa
讧	hyoa
议	ykoa
讯	xwoa
讳	hboa
讵	jloa
讶	ysoa
讹	xeoa
讻	xyoa
讽	froa
诀	jhoa
诂	gjoa
评	pgoa
识	fkoa
诈	fsoa
诌	fdoa
诎	qloa
诏	fzoa
诏	qzoa
诒	dhoa
诔	lwoa
诗	ekoa
诚	jroa
诜	xmoa
诞	dfoa
诠	qtoa
诡	gboa
诤	qroa
详	xxoa
诨	hwoa
诫	jdoa
诬	wjoa
诮	qcoa
诰	gzoa
诱	ydoa
诳	kmoa
诳	kxoa
说	eboa
说	yhoa
诵	syoa
诸	qjoa
诼	floa
诽	fwoa
课	keoa
谄	jfoa
谇	sboa
谌	enoa
谍	ddoa
谎	hmoa
谎	hxoa
谒	yeoa
谓	wwoa
谖	xtoa
谘	zkoa
谙	xfoa
谚	yfoa
谛	dkoa
谜	mkoa
谟	mloa
谠	dpoa
谡	sjoa
谢	xdoa
谣	yzoa
谩	mfoa
谭	tfoa
谴	qmoa
谵	qfoa
谷	gjuo
谼	hyuo
豁	hloo
豇	jxvo
豉	wkvo
豌	wfvo
象	xxua
豮	fnvu
豳	bbiv
豹	bzuo
貂	dcuo
貅	xquo
貆	htuo
貉	heuo
貉	hzuo
貌	mzuo
貔	pkuo
貘	mluo
贞	qniv
负	fjua
贠	ytao
账	qpao
货	hliu
质	fkuu
贩	ffao
贪	tfio
贬	bmao
贮	qjao
贯	gtaa
贰	xjvv
贲	bkuo
贲	bnuo
贵	gbia
贶	kmao
贶	kxao
贷	dhiv
贺	heau
贾	gjvi
贾	jsvi
贿	hbao
赂	ljao
赅	ghao
赈	qnao
赉	lhvo
赊	eeao
赋	fjao
赌	djao
赎	ejao
赏	epio
赒	fdao
赔	pwao
赗	frao
赜	zevi
赡	efao
赢	ygov
赦	eevo
赧	nfvo
赫	hevo
赳	jqvo
赴	fjvo
赶	gfvo
趁	jnvo
趄	qdvo
趑	zkvo
趟	tpvo
趣	qlvo
趱	zfvo
趴	psoi
趸	dwva
趾	fkoi
跃	yhoi
跄	qxoi
跋	bsoi
跌	ddoi
跎	tloi
跏	jsoi
距	jloi
跤	jcoi
跳	tcoi
践	jmoi
跷	qcoi
跺	dloi
跻	jkoi
踊	yyoi
踏	tsoi
踔	wloi
踝	hgoi
踢	tkoi
踣	bloi
踪	zyoi
踮	dmoi
踵	fyoi
踶	dkoi
蹁	pmoi
蹅	wsoi
蹈	dzoi
蹉	cloi
蹊	qkoi
蹒	pfoi
蹙	cjvu
蹜	sjoi
蹬	droi
蹯	ffoi
蹲	cwoi
蹲	dwoi
蹲	zwoi
蹴	zjoi
蹶	jhoi
蹼	pjoi
蹽	lcoi
躁	zzoi
躅	floi
躅	qjoi
躇	jjoi
躏	lboi
躐	ldoi
躬	gyui
躲	dlui
軎	wwvi
轧	fsva
轧	gsva
轨	gbva
轩	xtva
轪	dhva
轫	rnva
轭	xeva
轱	gjva
轲	keva
轴	fdva
轷	hjva
轼	ekva
轿	jcva
辁	qtva
辄	feva
辄	qeva
辅	fjva
辇	nmvv
辉	hbio
辊	gwva
辋	wpva
辌	lxva
辍	wlva
辎	zkva
辑	jkva
辒	wnva
输	ejva
辔	pwaa
辕	ytva
辖	xsva
辗	nmva
辗	qfva
辘	ljva
辚	lbva
辛	xbov
辟	pkav
辣	lsov
辩	bmov
辰	jnvu
迄	qkuv
迅	xwav
迈	mhva
返	ffuu
迚	dsia
远	ytvv
违	wwvv
迪	dkia
迫	phui
迭	dduv
迮	zeuv
迷	mkou
迺	nhvi
逄	ppua
逅	hduu
逆	nkou
逊	xwai
逋	bjvi
逗	ddvo
逞	jrov
逢	frua
逵	kbvo
逸	ykua
逻	llia
逼	bkvo
遂	sbou
遇	ylia
遏	xeoi
遐	xsav
遑	hmui
遑	hxui
遒	qqou
遛	lqua
遣	qmia
遥	yzuo
遵	zwou
遽	jliv
邀	yzui
邃	sboo
邓	drao
邛	qyvi
邝	kmov
邝	kxov
邠	bbuo
邡	fpov
那	nlav
邨	cwva
邪	xdva
邪	yeva
邮	ydia
邯	hfvi
邰	thao
邵	ezau
邺	yeii
邻	lbio
郁	ylvu
郄	qduo
郊	jcov
郎	lpoa
郐	ggiv
郐	kgiv
郑	qrou
郝	hzvo
郧	ywoa
郫	pkui
郯	tfou
郸	dfou
都	djuo
鄀	rlii
鄌	tpov
鄞	ybvi
鄱	pluo
鄹	zdvi
酂	cluv
酃	lgvo
酉	ydvi
酎	fdvi
酗	xlvi
酚	fnvi
酝	ywvi
酞	thvi
酢	cjvi
酢	zlvi
酰	xmvi
酲	jrvi
酴	tjvi
酶	mwvi
酺	pjvi
醅	pwvi
醇	jwvi
醍	tkvi
醐	hjvi
醒	xgvi
醛	qtvi
醣	tpvi
醪	lzvi
醺	xwvi
醾	mkvi
釉	yduo
释	ekuo
重	fyuv
野	yeia
鋆	ywvo
錾	zfva
鍪	mdao
钆	gsio
针	qnio
钉	dgio
钊	fzio
钊	qzio
钍	tjio
钏	wtio
钐	efio
钒	ffio
钔	mnio
钕	nlio
钗	jhio
钛	thio
钞	jzio
钞	wzio
钟	fyio
钠	nsio
钦	qbio
钧	jwio
钨	wjio
钫	fpio
钭	ddio
钮	nqio
钯	bsio
钯	psio
钰	ylio
钵	blio
钷	plio
钺	yhio
钼	mjio
钾	jsio
钿	dmio
钿	tmio
铀	ydio
铁	tdio
铃	lgio
铅	qmio
铉	xtio
铊	tlio
铊	tsio
铋	bkio
铌	nkio
铍	pkio
铏	xgio
铐	kzio
铑	lzio
铖	jrio
铘	yeio
铙	nzio
铛	dpio
铞	dcio
铟	ybio
铠	khio
铡	fsio
铣	xkio
铤	tgio
铧	hqio
铨	qtio
铩	esio
铪	hsio
铬	geio
铭	mgio
铮	qrio
铲	jfio
铳	wyio
铵	xfio
铷	rjio
铸	qjio
铺	pjio
链	lmio
锂	lkio
锄	jjio
锅	glio
锈	xqio
锉	clio
锊	lhio
锋	frio
锌	xbio
锍	lqio
锑	tkio
锒	lpio
锕	xsio
锗	feio
锗	qeio
锚	mzio
锛	bnio
锜	qkio
锞	keio
锟	kwio
锢	gjio
锧	fkio
锨	xmio
锫	pwio
键	jmio
锯	jlio
锰	mrio
锱	zkio
锲	qdio
锳	ygio
锵	qxio
锷	xeio
锸	wsio
锹	qcio
锼	sdio
锽	hmio
锽	hxio
锾	htio
镀	djio
镁	mwio
镂	ldio
镄	fwio
镆	mlio
镊	ndio
镐	gzio
镐	hzio
镕	ryio
镖	bcio
镘	mfio
镚	brio
镛	yyio
镜	jgio
镝	dkio
镞	zjio
镣	lcio
镥	ljio
镦	dwio
镧	lfio
镩	ctio
镫	drio
镭	lwio
镯	flio
镴	lsio
镶	xxio
长	qpuv
闪	efoi
闭	bkoi
闯	wmoi
闯	wxoi
闲	xmoi
闳	hyoi
闵	mboi
闶	kpoi
闷	mnoi
闺	gboi
闻	wnoi
闿	khoi
阀	fsoi
阁	geoi
阃	kwoi
阄	jqoi
阆	lpoi
阇	djoi
阍	hwoi
阐	jfoi
阑	lfoi
阒	qloi
阗	tmoi
阙	qhoi
阜	fjui
阡	qmai
阢	wjai
阪	bfai
阱	jgai
阳	ypai
阴	ybai
阶	jdai
阽	dmai
陀	tlai
陂	bwai
陂	plai
附	fjai
际	jkai
陆	lqai
陇	lyai
陉	xgai
陋	ldai
陌	mlai
降	jxai
降	xxai
限	xmai
陑	xjai
陔	ghai
陛	bkai
陞	erai
陟	fkai
陧	ndai
陨	ywai
陬	zdai
陵	lgai
隅	ylai
隗	kbai
隙	xkai
障	qpai
隧	sbai
隩	xzai
隳	dlai
隶	lkav
隹	fbio
隼	swio
雀	qhiu
雅	ysva
集	jkio
雌	ckiv
雠	wdio
雨	ylvi
雱	ppvi
雳	lkvo
雷	lwvo
雾	wjvo
霄	xcvo
霆	tgvo
霈	pwvo
霉	mwvo
霎	esvo
霏	fwvo
霓	nkvo
霖	lbvo
霜	emvo
霜	exvo
霞	xsvo
霰	xmvo
露	ldvo
霹	pkvo
霾	mhvo
青	qgvv
靓	lxvv
靡	mkov
靥	yevu
革	gevi
靴	xhvi
靶	bsvi
靸	ssvi
靽	bfvi
鞅	ypvi
鞋	xdvi
鞑	dsvi
鞔	mfvi
鞘	ezvi
鞘	qcvi
鞨	hevi
鞲	gdvi
鞳	tsvi
鞴	bwvi
韂	jfvi
韭	jqiv
韵	ywov
韶	ezov
顷	qgva
顸	hfvv
项	xxvi
顼	xlvv
颀	qkuu
颁	bfuo
颃	hpov
颇	plau
颈	jgao
颉	xdvo
颐	ykvi
频	pbiv
颓	tbuv
颔	hfio
颖	ygua
颛	ftia
颜	yfov
颞	ndvi
颤	qfov
颥	rjvo
飕	sdua
飙	bcvu
飚	bcua
食	ekio
食	skio
飨	xxaa
飱	swvu
饕	tzov
饧	tpua
饨	twua
饪	rnua
饬	wkua
饮	ybua
饯	jmua
饱	bzua
饲	skua
饸	heua
饹	leua
饼	bgua
饽	blua
馃	glua
馄	hwua
馅	xmua
馆	gtua
馇	wsua
馈	kbua
馌	yeua
馍	mlua
馐	xqua
馑	jbua
馔	ftua
馘	glou
香	xxuv
马	msaa
驭	ylaa
驮	dlaa
驯	xwaa
驱	qlaa
驳	blaa
驴	llaa
驵	zpaa
驶	ekaa
驹	jlaa
驻	qjaa
驼	tlaa
驾	jsau
骀	thaa
骁	xcaa
骂	msoo
骃	ybaa
骄	jcaa
骅	hqaa
骇	hhaa
骈	pmaa
验	yfaa
骍	xgaa
骎	qbaa
骏	jwaa
骑	qkaa
骕	sjaa
骙	kbaa
骛	wjao
骞	qmoo
骠	bcaa
骢	cyaa
骤	fdaa
骦	emaa
骦	exaa
骨	gjia
骷	kjia
骼	geia
髂	qsia
髅	ldia
髌	bbia
髓	sbia
髟	bcvi
髡	kwvi
髢	dkvi
髭	zkvi
髹	xqvi
鬃	zyvi
鬏	jqvi
鬓	bbvi
鬟	htvi
鬣	ldvi
鬯	jpuo
鬷	zyvo
鬻	ylav
魃	bsui
魄	plui
魄	tlui
魆	xlui
魈	xcui
魋	tbui
魍	wpui
魏	wwuv
魑	wkui
鱽	dzua
鱿	ydua
鲂	fpua
鲅	bsua
鲆	pgua
鲇	nmua
鲈	ljua
鲎	hdoo
鲏	pkua
鲐	thua
鲗	zwua
鲘	hdua
鲢	lmua
鲦	tcua
鲨	esai
鲪	jwua
鲭	qgua
鲰	zdua
鲸	jgua
鲹	enua
鲻	zkua
鲼	fnua
鲽	ddua
鳀	tkua
鳃	shua
鳄	xeua
鳅	qqua
鳈	qtua
鳊	bmua
鳋	szua
鳌	xzvv
鳍	qkua
鳎	tsua
鳐	yzua
鳕	xhua
鳖	bdou
鳗	mfua
鳘	mbuv
鳙	yyua
鳝	efua
鳡	gfua
鳣	qfua
鸟	dcua
鸣	mgou
鸧	cpia
鸫	dyva
鸭	ysia
鸵	tlua
鸸	xjvu
鸹	gquv
鸺	xqiv
鸻	hruu
鸽	geiv
鸿	hyav
鹃	jtou
鹅	xeuv
鹊	qhvi
鹌	xfvu
鹏	pruu
鹕	hjuo
鹙	qquv
鹟	wruo
鹤	heoa
鹧	feov
鹧	qeov
鹩	lcvu
鹭	ljoi
鹾	cliv
鹿	ljov
麇	qwov
麈	qjov
麓	ljvv
麝	eeov
麦	mhvv
麻	msov
麾	hbov
黉	hyoo
黍	ejuv
默	mlia
黜	jjia
黪	cfia
黾	mroi
鼍	tloo
鼎	dgia
鼐	nhau
鼓	gjvo
鼗	tzuo
鼢	fnui
鼩	qlui
鼫	ekui
鼯	wjui
鼱	jgui
鼾	hfui
齁	hdui
齄	fsui
齉	npui
齿	wkiv
龀	jniv
龄	lgiv
龅	bziv
龆	tciv
龇	zkiv
龈	ybiv
龋	qliv
龌	wliv
龚	gyvu
龛	kfiv
龟	gbua
龠	yhiv
㑇	fdiu
㕮	fjou
㙂	dbvo
㛚	tyau
㛹	pmau
㠇	jqia
㧐	syiu
㧑	wwiu
㧟	kgiu
㨃	dbiu
㬊	htoi
㭎	gpvi
㴔	seau
㵐	jhav
㶲	yyou
㸆	kzou
㸌	hlou
㻬	tjvv
䌹	jyaa
䐃	jyui
䓖	qyii
䓬	fzii
䓬	qzii
䢺	jjai
䴘	tkuu
𠳐	bpov
𡎚	pmvo
𣗋	dpvi
𥕢	czvu
𥖨	zzvu
𥻗	wsou
𦰡	nlii
𦰡	nsii
𧿹	mjoi
𨐈	gmva
𨐈	gxva
𨱇	qqio
𨱏	dsio
𨺙	nkai
ㄓ	fkia
不	fdvu
个	geii
乂	ykuo
乃	nhau
么	mlua
乌	wjua
乐	yzua
乘	jruv
九	jqua
乞	qkuv
乩	jkiv
了	lcai
了	leai
二	xjvv
亍	jjvv
亟	jkai
亡	wjov
亲	qgov
亵	xdov
亶	dfov
亸	dlov
亹	wwov
仡	geiu
仫	mjiu
价	jdii
伈	xbio
伊	ykia
伋	jkiu
伎	jkiu
休	xqiv
伧	cpii
伫	qjio
伭	xmio
伯	bhiu
伲	nkia
伶	lgii
伺	skia
似	ekia
伽	jsia
伾	pkiv
佑	ydiv
佖	bkio
佗	tlio
佚	ddiu
佚	ykiu
佟	tyiu
佬	lziu
佶	jkiv
侁	eniu
侂	tlio
侄	fkiv
侍	ekiv
侏	qjiu
侔	mdia
侗	tyii
侹	tgiu
俑	yyia
俘	fjiu
俙	xkiu
俜	pgii
俞	yliv
俟	skia
俣	ylio
俤	dkio
俫	lhiv
倏	ejii
倕	wbiu
倞	lxio
倡	jpio
倨	jlia
倬	flii
倮	llii
偁	jriu
偃	yfiv
偈	jkio
偎	wwii
偓	wlia
偰	xdiv
偻	ldio
偻	llio
傃	sjiv
傅	fjiv
傈	lkiv
傕	jhio
傣	dhiv
傥	tpii
傺	wkiu
僎	ftia
僖	xkiv
僭	jmiv
儇	xtii
儋	dfiu
儡	lwii
儦	bcio
儳	jfio
儿	xjua
兕	skia
入	rjuo
八	bsuo
六	ljov
兮	xkuo
兹	ckou
冁	jfou
冈	gpia
冒	mlia
冔	xlia
冘	yboa
冘	ydoa
冼	xmov
净	jgov
凄	qkov
凇	syov
凉	lxov
凘	skov
凳	drao
凹	wsia
刀	dzau
刁	dcav
刈	ykuo
刍	jjua
刑	xgvv
刖	yhui
刨	bzua
刭	jgao
刳	kjvu
券	xtou
刿	gbia
剂	jkov
剅	ldvo
削	xcio
剔	tkoi
剜	wfoo
剞	jkvu
剡	yfou
剪	jmou
剽	pcvi
剿	jcaa
劁	qcio
劂	jhvu
劈	pkav
劐	hlii
劓	ykui
力	lkau
劢	mhva
劭	ezau
励	lkvu
劼	jduo
劾	heov
势	ekiu
勋	xwoa
勍	qgov
